molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL272461,O=C1CC(c2ccc(F)c(F)c2)c2c(ccc3cc(Br)ccc23)O1,IC50,'=',19700,nM
CHEMBL4129995,CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,IC50,'=',150,nM
CHEMBL4129995,CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,IC50,'=',93,nM
CHEMBL3806257,NC(=O)c1cncc(OCc2cccc(NC(=O)c3ccncc3)c2)c1,IC50,'=',34.1,nM
CHEMBL3805547,NC(=O)c1cncc(OCc2cccc(NC(=O)/C=C/c3ccncc3)c2)c1,IC50,'=',43.6,nM
CHEMBL4643590,CSCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@@H]2Cc3ccc(cc3)OCCCC(=O)N[C@@H](Cc3c[nH]cn3)C(=O)N2)Cc2ccc(cc2)OCCCCCNC1=O,IC50,'=',253,nM
CHEMBL4097821,O=c1c2c3c(sc2ncn1Cc1cccc2ccccc12)CC(NCc1ccc(Cl)cc1)CC3,IC50,,,
CHEMBL4101884,COc1ccc(CNC2CCc3c(sc4ncn(Cc5cccc6ccccc56)c(=O)c34)C2)cc1,IC50,'=',3200,nM
CHEMBL4085927,O=c1c2c3c(sc2ncn1Cc1cccc2cccnc12)CC(NCc1ccccc1F)CC3,IC50,,,
CHEMBL4074706,O=c1c2c3c(sc2ncn1Cc1cccc2ccccc12)CC(NCc1cccc(Cl)c1)CC3,IC50,,,
CHEMBL4067975,COc1ccc2ccccc2c1Cn1cnc2sc3c(c2c1=O)CCC(NCc1ccccc1Cl)C3,IC50,,,
CHEMBL4096285,COc1cccc(Cn2cnc3sc4c(c3c2=O)CCC(NCc2ccccc2Cl)C4)c1,IC50,,,
CHEMBL4094149,COc1ccc(CNC2CCc3c(sc4ncn(Cc5cccc6cccnc56)c(=O)c34)C2)cc1,IC50,'=',1830,nM
CHEMBL4095132,O=c1c2c3c(sc2ncn1Cc1cccc2cccnc12)CC(NCc1cccnc1)CC3,IC50,'=',2920,nM
